12:46:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:46:08        all      2.25      0.00     25.40      0.00      0.00     72.35
12:46:09        all      1.28      0.00     23.08      0.00      0.00     75.64
12:46:10        all      2.55      0.00     22.61      0.00      0.00     74.84
12:46:11        all      1.60      0.00     23.32      0.00      0.00     75.08
12:46:12        all      2.23      0.00     22.61      0.00      0.00     75.16
12:46:13        all      1.85      0.00     27.08      0.31      0.00     70.77
12:46:14        all      0.99      0.00     17.11      0.00      0.00     81.91
12:46:15        all      0.95      0.00     19.62      0.00      0.00     79.43
12:46:16        all     16.46      0.00     21.20      0.00      0.00     62.34
12:46:17        all      1.03      0.00     21.03      0.00      0.00     77.93
12:46:18        all      2.42      0.00     18.69      0.00      0.00     78.89
12:46:19        all      3.36      0.00     20.80      0.00      0.00     75.84
12:46:20        all      2.17      0.00     16.72      0.00      0.00     81.11
12:46:21        all      2.61      0.00     15.31      0.00      0.00     82.08
12:46:22        all      3.17      0.00      9.51      0.00      0.00     87.32
12:46:23        all      1.00      0.00      1.25      0.00      0.00     97.74
12:46:24        all      4.57      0.00      4.57      0.00      0.00     90.86
12:46:25        all      6.85      0.00     11.93      0.00      0.00     81.22
12:46:26        all     20.93      0.00     20.06      0.00      0.00     59.01
12:46:27        all      4.78      0.00     40.00      0.00      0.00     55.22
12:46:28        all      1.23      0.00     35.58      0.31      0.00     62.88
12:46:29        all      2.57      0.00     36.29      0.00      0.00     61.14
12:46:30        all      2.44      0.00     32.93      0.00      0.00     64.63
12:46:31        all      2.33      0.00     36.34      0.00      0.00     61.34
12:46:32        all      1.88      0.00     31.56      0.00      0.00     66.56
12:46:33        all      2.66      0.00     34.32      0.00      0.00     63.02
12:46:34        all      2.81      0.00     25.94      0.00      0.00     71.25
12:46:35        all      2.32      0.00     22.19      0.00      0.00     75.50
12:46:36        all     15.71      0.00     25.08      0.00      0.00     59.21
12:46:37        all      3.15      0.00     18.93      0.00      0.00     77.92
12:46:38        all      2.22      0.00     18.73      0.00      0.00     79.05
12:46:39        all      3.54      0.00     18.33      0.00      0.00     78.14
12:46:40        all      2.69      0.00     18.86      0.00      0.00     78.45
12:46:41        all      1.80      0.00     16.19      0.00      0.00     82.01
12:46:42        all      3.22      0.00     14.62      0.00      0.00     82.16
12:46:43        all      0.00      0.00      0.75      0.00      0.00     99.25
12:46:44        all      0.25      0.00      1.00      0.00      0.00     98.75
12:46:45        all      5.88      0.00      8.18      0.00      0.00     85.93
12:46:46        all     17.96      0.00     27.07      0.00      0.00     54.97
12:46:47        all      6.73      0.00     32.42      0.00      0.00     60.86
12:46:48        all      6.21      0.00     24.48      0.00      0.00     69.31
12:46:49        all      4.23      0.00     21.13      0.35      0.00     74.30
12:46:50        all      4.12      0.00     23.37      0.00      0.00     72.51
12:46:51        all      1.09      0.00     21.53      0.00      0.00     77.37
12:46:52        all      1.68      0.00     27.18      0.00      0.00     71.14
12:46:53        all      1.40      0.00     25.17      0.70      0.00     72.73
12:46:54        all      1.79      0.00     18.93      0.00      0.00     79.29
12:46:55        all      3.74      0.00     19.05      0.00      0.00     77.21
12:46:56        all     16.01      0.00     20.26      0.00      0.00     63.73
12:46:57        all      2.21      0.00     19.24      0.00      0.00     78.55
12:46:58        all      1.33      0.00     15.61      0.33      0.00     82.72
12:46:59        all      0.97      0.00     18.45      0.00      0.00     80.58
12:47:00        all      1.25      0.00     22.74      0.00      0.00     76.01
12:47:01        all      1.62      0.00     17.53      0.00      0.00     80.84
12:47:02        all      2.28      0.00     13.68      0.00      0.00     84.05
12:47:03        all      0.25      0.00      0.75      0.00      0.00     98.99
12:47:04        all      0.25      0.00      0.25      0.00      0.00     99.49
12:47:05        all      4.59      0.00      8.93      0.00      0.00     86.48
12:47:06        all     19.01      0.00     25.07      0.00      0.00     55.92
12:47:07        all      5.14      0.00     35.05      0.00      0.00     59.81
12:47:08        all      4.58      0.00     26.06      0.00      0.00     69.37
12:47:09        all      2.52      0.00     22.66      0.00      0.00     74.82
12:47:10        all      2.48      0.00     21.99      0.00      0.00     75.53
12:47:11        all      1.70      0.00     25.85      0.00      0.00     72.45
12:47:12        all      1.64      0.00     28.52      0.00      0.00     69.84
12:47:13        all      2.64      0.00     27.06      0.00      0.00     70.30
12:47:14        all      3.02      0.00     22.82      0.00      0.00     74.16
12:47:15        all      3.26      0.00     16.61      0.00      0.00     80.13
12:47:16        all     16.77      0.00     13.92      0.00      0.00     69.30
12:47:17        all      0.96      0.00     17.95      0.00      0.00     81.09
12:47:18        all      1.95      0.00     13.68      0.33      0.00     84.04
12:47:19        all      1.56      0.00     15.58      0.00      0.00     82.87
12:47:20        all      2.21      0.00     14.20      0.00      0.00     83.60
12:47:21        all      2.68      0.00     16.67      0.00      0.00     80.65
12:47:22        all      7.26      0.00     17.60      0.00      0.00     75.14
12:47:23        all      0.50      0.00      0.76      0.00      0.00     98.74
12:47:24        all      0.25      0.00      0.50      0.00      0.00     99.24
12:47:25        all      3.85      0.00      6.41      0.00      0.00     89.74
12:47:26        all     19.94      0.00     21.08      0.00      0.00     58.97
12:47:27        all      4.72      0.00     32.70      0.00      0.00     62.58
12:47:28        all      3.21      0.00     28.21      0.00      0.00     68.59
12:47:29        all      3.73      0.00     25.16      0.00      0.00     71.12
12:47:30        all      1.57      0.00     25.08      0.00      0.00     73.35
12:47:31        all      2.18      0.00     24.61      0.00      0.00     73.21
12:47:32        all      3.07      0.00     24.85      0.00      0.00     72.09
12:47:33        all      1.25      0.00     26.02      0.00      0.00     72.73
12:47:34        all      5.86      0.00     21.82      0.00      0.00     72.31
12:47:35        all      1.47      0.00     25.29      0.00      0.00     73.24
12:47:36        all     15.15      0.00     21.82      0.00      0.00     63.03
12:47:37        all      1.86      0.00     27.55      0.00      0.00     70.59
12:47:38        all      2.61      0.00     23.45      0.00      0.00     73.94
12:47:39        all      2.21      0.00     25.87      0.00      0.00     71.92
12:47:40        all      3.07      0.00     25.77      0.00      0.00     71.17
12:47:41        all      2.42      0.00     22.12      0.00      0.00     75.45
12:47:42        all      2.82      0.00     16.10      0.00      0.00     81.07
12:47:43        all      0.00      0.00      0.50      0.25      0.00     99.25
